iter	Passed	Remaining
819	30855	6773
820	30898	6736
821	30940	6700
822	30975	6661
823	31025	6626
824	31054	6587
825	31095	6550
826	31136	6513
827	31172	6475
828	31210	6437
829	31254	6401
830	31294	6364
831	31326	6325
832	31354	6285
833	31395	6248
834	31434	6211
835	31479	6175
836	31520	6138
837	31563	6101
838	31610	6065
839	31654	6029
840	31695	5992
841	31729	5953
842	31766	5916
843	31812	5879
844	31849	5842
845	31890	5805
846	31920	5766
847	31962	5729
848	32011	5693
849	32046	5655
850	32091	5618
851	32132	5581
852	32173	5544
853	32217	5507
854	32252	5469
855	32299	5433
856	32338	5395
857	32378	5358
858	32419	5321
859	32456	5283
860	32500	5246
861	32543	5210
862	32575	5171
863	32619	5134
864	32659	5097
865	32706	5060
866	32745	5023
867	32784	4985
868	32826	4948
869	32875	4912
870	32918	4875
871	32958	4837
872	32997	4800
873	33039	4763
874	33080	4725
875	33121	4688
876	33159	4650
877	33217	4615
878	33264	4579
879	33304	4541
880	33343	4503
881	33387	4466
882	33433	4430
883	33473	4392
884	33516	4355
885	33568	4319
886	33610	4281
887	33653	4244
888	33688	4206
889	33727	4168
890	33764	4130
891	33805	4092
892	33845	4055
893	33881	4017
894	33925	3980
895	33969	3942
896	34012	3905
897	34050	3867
898	34087	3829
899	34122	3791
900	34177	3755
901	34220	3718
902	34264	3680
903	34307	3643
904	34347	3605
905	34385	3567
906	34434	3530
907	34484	3493
908	34524	3456
909	34568	3418
910	34609	3381
911	34655	3343
912	34708	3307
913	34766	3271
914	34818	3234
915	34879	3198
916	34926	3161
917	34974	3124
918	35012	3086
919	35051	3047
920	35096	3010
921	35131	2972
922	35168	2933
923	35226	2897
924	35267	2859
925	35313	2822
926	35358	2784
927	35404	2746
928	35446	2709
929	35492	2671
930	35538	2633
931	35580	2595
932	35617	2557
933	35662	2520
934	35705	2482
935	35751	2444
936	35799	2407
937	35854	2369
938	35895	2331
939	35939	2293
940	35990	2256
941	36031	2218
942	36070	2180
943	36110	2142
944	36142	2103
945	36179	2065
946	36213	2026
947	36249	1988
948	36288	1950
949	36325	1911
950	36363	1873
951	36397	1835
952	36431	1796
953	36469	1758
954	36505	1720
955	36543	1681
956	36578	1643
957	36616	1605
958	36646	1566
959	36680	1528
960	36719	1490
961	36752	1451
962	36789	1413
963	36828	1375
964	36865	1337
965	36901	1298
966	36930	1260
967	36962	1221
968	36994	1183
969	37022	1145
970	37047	1106
971	37071	1067
972	37098	1029
973	37125	991
974	37148	952
975	37173	914
976	37200	875
977	37227	837
978	37253	799
979	37279	760
980	37303	722
981	37327	684
982	37344	645
983	37361	607
984	37379	569
985	37399	531
986	37420	492
987	37439	454
988	37459	416
989	37477	378
990	37497	340
991	37516	302
992	37534	264
993	37555	226
994	37572	188
995	37591	150
996	37607	113
997	37623	75
998	37641	37
999	37657	0
